"","title","price","price_without_discount","options","free_delivery_description","user_rating","number_of_user_ratings","units_sold_description"
"23","Unlocked Smartphone, 6.3 inch HD Display, Android10.0, Dual SIM, Dual Cameras, 1GB RAM+16GB ROM (Expandable to 128GB), Support: WiFi, Bluetooth, GPS 3G Mobile Phones (Golden)","$65.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","2.9 out of 5 stars","170 ",NA
"24","SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black","$779.99","$859.99","2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.5 out of 5 stars","456 ","300+ bought in past month"
"25","TracFone | Motorola Moto g Pure | Locked | 32GB | 4000 mAh Battery | 13 MP Dual Camera System | 6.5"" Max Vision HD+ Display | Blue","$49.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.2 out of 5 stars","2,828 ","500+ bought in past month"
"26","SAMSUNG Galaxy S24 Ultra 5G S9280 Physical Dual SIM 512GB 12GB RAM AI Smartphone, Factory Unlocked, Global Model, Long Battery Life - Titanium Violet","$982.89",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.3 out of 5 stars","50 ","400+ bought in past month"
"27","Motorola One Ace | 2021 | 2-Day Battery | Unlocked | Made for US 4/64GB | 48MP Camera | Volcanic Gray","$100.10",NA,NA,NA,"3.9 out of 5 stars","228 ","1K+ bought in past month"
"28","Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue","$98.99","$169.99",NA,NA,"4.0 out of 5 stars","1,380 ","2K+ bought in past month"
"29","Google Pixel 4a - Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Barely Blue","$177.19","$188.09",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.5 out of 5 stars","10,425 ","50+ bought in past month"
"30","SAMSUNG Galaxy A13 LTE, Factory Unlocked Smartphone, Android Cell Phone, Water Resistant, 50MP Camera, US Version, 32GB, Black (Renewed)","$89.00",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Thu, Oct 10","4.0 out of 5 stars","579 ","1K+ bought in past month"
"31","SAMSUNG Galaxy S24+ Plus Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version 2024, Amber Yellow","$999.99",NA,"2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.5 out of 5 stars","654 ","100+ bought in past month"
"32","Nokia C2 2E | Android 11 (Go Edition) | Unlocked Smartphone | All Day Battery | 2/32GB | 5.7-Inch Screen | International Version | Blue","$59.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.3 out of 5 stars","81 ","1K+ bought in past month"
"33","Motorola Edge | 2022 | 2-Day Battery | Unlocked | Made for US 6/128GB | 50MP Camera | Mineral Gray","$184.55",NA,NA,"FREE delivery Sun, Oct 13 Or fastest delivery Thu, Oct 10","4.1 out of 5 stars","1,243 ","200+ bought in past month"
"34","Samsung Galaxy S20 FE 5G, 128GB, Cloud Navy - Unlocked (Renewed)","$162.50",NA,"2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.9 out of 5 stars","7,371 ","2K+ bought in past month"
"35","SAMSUNG Galaxy Z Fold 6 AI Cell Phone, 512GB Unlocked Android Smartphone, Circle to Search, Handsfree Live Interpreter, AI Photo Edits, Large Screen, 2024,US 1 Yr Manufacturer Warranty, Navy","$1,550.00","$2,019.99",NA,"FREE delivery Thu, Oct 17 Or fastest delivery Thu, Oct 10","4.1 out of 5 stars","103 ","300+ bought in past month"
"36","SAMSUNG Galaxy A25 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Stereo Speakers, US Version, 2024, Black","$249.99","$299.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.5 out of 5 stars","277 ","500+ bought in past month"
"37","Samsung Galaxy S20 5G, 128GB, Cosmic Gray - Unlocked (Renewed)","$186.80","$579.97",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Fri, Oct 11","4.0 out of 5 stars","6,257 ","500+ bought in past month"
